,year,host_country,origin,value
0,2014,Syrian Arab Rep.,Syrian Arab Rep.,7632500
1,2016,Colombia,Colombia,7410816
2,2015,Colombia,Colombia,6939067
3,2015,Syrian Arab Rep.,Syrian Arab Rep.,6563462
4,2013,Syrian Arab Rep.,Syrian Arab Rep.,6520800
5,2016,Syrian Arab Rep.,Syrian Arab Rep.,6325978
6,2014,Colombia,Colombia,6044151
7,2013,Colombia,Colombia,5368138
8,2015,Iraq,Iraq,4403287
9,2012,Colombia,Colombia,3943509
10,2011,Colombia,Colombia,3888309
11,2010,Colombia,Colombia,3672054
12,2016,Iraq,Iraq,3604285
13,2014,Iraq,Iraq,3596356
14,2009,Thailand,Thailand,3500000
15,2008,Thailand,Thailand,3500000
16,2006,Nepal,Nepal,3400000
17,2009,Colombia,Colombia,3303979
18,1989,Pakistan,Afghanistan,3272290
19,1988,Pakistan,Afghanistan,3254393
20,1990,Pakistan,Afghanistan,3253000
21,2015,Sudan,Sudan,3218234
22,1991,Iran (Islamic Rep. of),Afghanistan,3186616
23,1987,Pakistan,Afghanistan,3156000
24,1991,Pakistan,Afghanistan,3098000
